file,row,id,obsid,sourceName,beam,frequency,driftRate,snr,n_beams,beam_frac,weak_label,rfi_score,verdict
lband_long,279405,1638,MeerKAT:array_1:20250701T085314Z,Gaia_4669059879491518848,2,855.9694444537163,0.01008805032455033,34.92885,4,0.0625,-1,0.99323188637243,pruned
lband_short,23589,681000,MeerKAT:array_1:20250711T085603Z,ex_LEDA_550211,41,870.0115993916988,-0.37927815010527133,30.55314,3,0.046875,-1,0.9932356896624208,pruned
uhf_long,116047,34810234,MeerKAT:array_1:20250714T160406Z,Gaia_6144627264474732928,25,647.993126809597,-0.020371711372487,106.73042,4,0.0625,-1,0.9932390337055294,pruned
uhf_long,94116,33495533,MeerKAT:array_1:20250710T060816Z,Gaia_5599210673237550464,2,623.9686879515648,-0.0101858556862435,11.636758,1,0.015625,0,0.993267115211402,pruned
uhf_short,32894,1157171,MeerKAT:array_1:20250717T220401Z,Gaia_2699005075699808256,52,576.0451447367668,-0.0427805938822227,26.271168,3,0.046875,-1,0.9933141083827515,pruned
uhf_short,2163,335545,MeerKAT:array_1:20250722T231023Z,Gaia_2682595444475329536,24,551.9971390366554,-0.02566835632933362,26.976963,4,0.0625,-1,0.9933188409854641,pruned
uhf_long,136311,35465281,MeerKAT:array_1:20250720T052239Z,Gaia_4668956147440049536,39,671.9996843338013,-0.012223026823492201,20.027811,4,0.0625,-1,0.9933372640871282,pruned
uhf_long,168007,1120107,MeerKAT:array_1:20250713T184021Z,Gaia_6440698017524871552,5,575.9920631051064,0.0020371711372487,14.792331,1,0.015625,0,0.9933376064539277,pruned
uhf_short,21213,1097277,MeerKAT:array_1:20250711T003519Z,ex_LEDA_1220485,32,576.0404502153397,-0.05133671265866724,47.02158,2,0.03125,0,0.993345573113272,pruned
uhf_long,78413,13615413,MeerKAT:array_1:20250729T031818Z,Gaia_4669818886111750144,4,599.9701920747757,-0.014260197960740902,176.22763,3,0.046875,-1,0.9933737406531421,pruned
lband_long,14623,394008,MeerKAT:array_1:20250731T124411Z,Gaia_5850066896878290944,2,863.9565118253231,-0.04539622646047649,14.741481,3,0.046875,-1,0.9933797202997308,pruned
uhf_long,94004,33482955,MeerKAT:array_1:20250708T010310Z,Gaia_6440627369606612352,34,625.0286729931831,0.012223026823492201,18.390215,4,0.0625,-1,0.9934066055155023,pruned
uhf_short,7789,386081,MeerKAT:array_1:20250730T231157Z,Gaia_2682558099734709760,12,551.9994371533394,0.0427805938822227,112.19439,4,0.0625,-1,0.9934069039382616,pruned
uhf_short,166504,13615864,MeerKAT:array_1:20250729T041550Z,Gaia_6527991784707259264,17,600.000124335289,0.00855611877644454,135.70671,1,0.015625,0,0.9934199773349873,pruned
uhf_long,31559,980801,MeerKAT:array_1:20250714T160406Z,Gaia_6144686638102792704,63,563.9808762073517,0.028520395921481805,14.425957,1,0.015625,0,0.9934220941727193,pruned
uhf_long,55505,2483334,MeerKAT:array_1:20250707T173400Z,Gaia_6144629566577185408,47,587.9802353978157,0.0081486845489948,14.130746,4,0.0625,-1,0.9934288000645506,pruned
uhf_long,188443,33653421,MeerKAT:array_1:20250731T221802Z,Gaia_4669778547779094528,45,623.9681884050369,-0.0040743422744974,120.60243,3,0.046875,-1,0.9934496503933694,pruned
mk_sample_hits,15066,35865832,MeerKAT:array_1:20240319T020710Z,Gaia_2530999625960439808,35,1562.37300555408,-0.005044025162275165,13.099126,1,0.015625,0,0.9934621185003362,pruned
lband_long,13396,381193,MeerKAT:array_1:20250730T013301Z,ex_KMHK_679,2,863.9567334502935,0.07061635227185231,18.983599,3,0.046875,-1,0.9934631185089705,pruned
uhf_short,82903,34884464,MeerKAT:array_1:20250723T234200Z,Gaia_2682519818690821888,26,648.0004416704178,-0.05989283143511178,23.586994,4,0.0625,-1,0.9934649210165827,pruned
uhf_long,77964,12892896,MeerKAT:array_1:20250726T235112Z,Gaia_6441477189014977664,33,599.98174649477,0.0162973690979896,50.13974,3,0.046875,-1,0.9934708091996939,pruned
uhf_short,15817,1048465,MeerKAT:array_1:20250731T192546Z,ex_[VV2006]_J154847.6+053729,36,563.9807221889496,0.05989283143511178,16.052927,4,0.0625,-1,0.9935067256898369,pruned
uhf_long,166125,1032101,MeerKAT:array_1:20250729T031818Z,Gaia_4669752949773940992,58,564.0001741051674,-0.0020371711372487,21.424452,2,0.03125,0,0.9935324350259326,pruned
lband_short,344493,29112171,MeerKAT:array_1:20250719T110629Z,Gaia_2993033966942250368,20,960.0027805715799,-0.13325989057752777,16.951984,4,0.0625,-1,0.9935479283534562,pruned
uhf_short,171240,33188964,MeerKAT:array_1:20250706T010358Z,J2130+0502,0,613.1961251497269,0.01711223755288908,26.845282,1,0.015625,0,0.9935543363482813,pruned
lband_long,14846,394263,MeerKAT:array_1:20250731T124411Z,Gaia_5853137626695049344,53,863.9565118253231,-0.04539622646047649,12.604447,3,0.046875,-1,0.993554832259948,pruned
